X,Y,Z,Yaw,Pitch,Roll
-3.73,-0.499998,0.5,7.313302,4.246648,1.7466608
-3.73,-0.530301,0.5,7.648049,4.349476,1.7555496
-3.73,-0.560604,0.5,7.982796,4.452304,1.7644384
-3.73,-0.590907,0.5,8.317543,4.555132,1.7733272
-3.73,-0.62121,0.5,8.65229,4.65796,1.782216
-3.73,-0.651513,0.5,8.987037,4.760788,1.7911048
-3.73,-0.681816,0.5,9.321784,4.863616,1.7999936
-3.73,-0.712119,0.5,9.656531,4.966444,1.8088824
-3.73,-0.742422,0.5,9.991278,5.069272,1.8177712
-3.73,-0.772725,0.5,10.326025,5.1721,1.82666
-3.73,-0.803028,0.5,10.660772,5.274928,1.8355488
-3.73,-0.833331,0.5,10.995519,5.377756,1.8444376
-3.73,-0.863634,0.5,11.330266,5.480584,1.8533264
-3.73,-0.893937,0.5,11.665013,5.583412,1.8622152
-3.73,-0.92424,0.5,11.99976,5.68624,1.871104
-3.73,-0.954543,0.5,12.334507,5.789068,1.8799928
-3.73,-0.984846,0.5,12.669254,5.891896,1.8888816
-3.73,-1.015149,0.5,13.004001,5.994724,1.8977704
-3.73,-1.045452,0.5,13.338748,6.097552,1.9066592
-3.73,-1.075755,0.5,13.673495,6.20038,1.915548
-3.73,-1.106058,0.5,14.008242,6.303208,1.9244368
-3.73,-1.136361,0.5,14.342989,6.406036,1.9333256
-3.73,-1.166664,0.5,14.677736,6.508864,1.9422144
-3.73,-1.196967,0.5,15.012483,6.611692,1.9511032
-3.73,-1.22727,0.5,15.34723,6.71452,1.959992
-3.73,-1.257573,0.5,15.681977,6.817348,1.9688808
-3.73,-1.287876,0.5,16.016724,6.920176,1.9777696
-3.73,-1.318179,0.5,16.351471,7.023004,1.9866584
-3.73,-1.348482,0.5,16.686218,7.125832,1.9955472
-3.73,-1.378785,0.5,17.020965,7.22866,2.004436
-3.73,-1.409088,0.5,17.355712,7.331488,2.0133248
-3.73,-1.439391,0.5,17.690459,7.434316,2.0222136
-3.73,-1.469694,0.5,18.025206,7.537144,2.0311024
-3.73,-1.5,0.5,18.36,7.64,2.04
-3.73,-1.5,0.508928,18.36,7.352143,1.95572
-3.73,-1.5,0.517856,18.36,7.064286,1.87144
-3.73,-1.5,0.526784,18.36,6.776429,1.78716
-3.73,-1.5,0.535712,18.36,6.488572,1.70288
-3.73,-1.5,0.54464,18.36,6.200715,1.6186
-3.73,-1.5,0.553568,18.36,5.912858,1.53432
-3.73,-1.5,0.562496,18.36,5.625001,1.45004
-3.73,-1.5,0.571424,18.36,5.337144,1.36576
-3.73,-1.5,0.580352,18.36,5.049287,1.28148
-3.73,-1.5,0.58928,18.36,4.76143,1.1972
-3.73,-1.5,0.598208,18.36,4.473573,1.11292
-3.73,-1.5,0.607136,18.36,4.185716,1.02864
-3.73,-1.5,0.616064,18.36,3.897859,0.94436
-3.73,-1.5,0.624992,18.36,3.610002,0.86008
-3.73,-1.5,0.63392,18.36,3.322145,0.7758
-3.73,-1.5,0.642848,18.36,3.034288,0.69152
-3.73,-1.5,0.651776,18.36,2.746431,0.60724
-3.73,-1.5,0.660704,18.36,2.458574,0.52296
-3.73,-1.5,0.669632,18.36,2.170717,0.43868
-3.73,-1.5,0.67856,18.36,1.88286,0.3544
-3.73,-1.5,0.687488,18.36,1.595003,0.27012
-3.73,-1.5,0.696416,18.36,1.307146,0.18584
-3.73,-1.5,0.705344,18.36,1.019289,0.10156
-3.73,-1.5,0.714272,18.36,0.731432,0.01728
-3.73,-1.5,0.7232,18.36,0.443575,-0.067
-3.73,-1.5,0.732128,18.36,0.155718,-0.15128
-3.73,-1.5,0.741056,18.36,-0.132139,-0.23556
-3.73,-1.4727273,0.75,18.03364,-0.42,-0.32
-3.73,-1.4454546,0.75,17.70728,-0.42,-0.32
-3.73,-1.4181819,0.75,17.38092,-0.42,-0.32
-3.73,-1.3909092,0.75,17.05456,-0.42,-0.32
-3.73,-1.3636365,0.75,16.7282,-0.42,-0.32
-3.73,-1.3363638,0.75,16.40184,-0.42,-0.32
-3.73,-1.3090911,0.75,16.07548,-0.42,-0.32
-3.73,-1.2818184,0.75,15.74912,-0.42,-0.32
-3.73,-1.2545457,0.75,15.42276,-0.42,-0.32
-3.73,-1.227273,0.75,15.0964,-0.42,-0.32
-3.73,-1.2000003,0.75,14.77004,-0.42,-0.32
-3.73,-1.1727276,0.75,14.44368,-0.42,-0.32
-3.73,-1.1454549,0.75,14.11732,-0.42,-0.32
-3.73,-1.1181822,0.75,13.79096,-0.42,-0.32
-3.73,-1.0909095,0.75,13.4646,-0.42,-0.32
-3.73,-1.0636368,0.75,13.13824,-0.42,-0.32
-3.73,-1.0363641,0.75,12.81188,-0.42,-0.32
-3.73,-1.0090914,0.75,12.48552,-0.42,-0.32
-3.73,-0.9818187,0.75,12.15916,-0.42,-0.32
-3.73,-0.954546,0.75,11.8328,-0.42,-0.32
-3.73,-0.9272733,0.75,11.50644,-0.42,-0.32
-3.73,-0.9000006,0.75,11.18008,-0.42,-0.32
-3.73,-0.8727279,0.75,10.85372,-0.42,-0.32
-3.73,-0.8454552,0.75,10.52736,-0.42,-0.32
-3.73,-0.8181825,0.75,10.201,-0.42,-0.32
-3.73,-0.7909098,0.75,9.87464,-0.42,-0.32
-3.73,-0.7636371,0.75,9.54828,-0.42,-0.32
-3.73,-0.7363644,0.75,9.22192,-0.42,-0.32
-3.73,-0.7090917,0.75,8.89556,-0.42,-0.32
-3.73,-0.681819,0.75,8.5692,-0.42,-0.32
